Build_Date,Build_ID,DOE_Code,DOE_ID,Elongation_Percent,Hatch_mm,Layer_mm,Modulus_GPa,Orientation,Parameter_Label,Peak_Stress_MPa,Percent_Porosity_Contour,Porosity_percent_infill,Power_W,Specimen_Position,Speed_mm_per_s,Total_Porosity_Percent,VED_J_per_mm3,Yield_Strength_MPa
2022-01-01,A43_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,5.422559,0.12,0.03,92.03062,Horizontal,A43,1133.809,0.00607672,0.0105427,330,Baseplate,1900,0.00930143,48.24561403508772,991.9364
2022-01-01,A44_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,8.837733,0.1,0.03,91.09922,Horizontal,A44,1122.924,0.0147461,0.0320147,250,Baseplate,2200,0.0252123,37.87878787878788,951.9387
2022-01-01,A45_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,6.961423,0.04,0.03,88.86436,Horizontal,A45,1040.917,0.0,0.00188301,250,Baseplate,2200,0.00146713,94.6969696969697,946.2058
2022-01-01,A46_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,6.513747,0.06,0.03,72.85587,Horizontal,A46,1081.437,0.0,0.00139565,300,Baseplate,2500,0.00110263,66.66666666666667,972.878
2022-01-01,A47_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,4.963275,0.11,0.03,90.74103,Horizontal,A47,1105.532,0.0382818,0.0140935,250,Baseplate,800,0.0159715,94.6969696969697,1000.853
2022-01-01,A48_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,6.888027,0.1,0.03,75.96694,Horizontal,A48,1086.132,0.305668,0.184219,370,Baseplate,2500,0.199193,49.333333333333336,968.8573
2022-01-02,A49_2022-01-02_JHUAPL_EOSM290_Ti64_Cylinder,1,A,10.15161,0.08,0.03,99.25736,Horizontal,A49,1104.252,0.0,0.00211239,250,Baseplate,1800,0.00155,57.87037037037037,969.0188
2022-01-01,A50_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,4.226879,0.19,0.03,88.15843,Horizontal,A50,1087.233,0.0527262,0.124993,340,Baseplate,600,0.109627,99.41520467836257,975.981
2022-01-01,A51_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,9.330571,0.14,0.03,96.24342,Horizontal,A51,1121.449,0.0,0.00162309,280,Baseplate,1200,0.0010639,55.55555555555554,982.8213
2022-01-01,A52_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,6.620796,0.14,0.03,97.50431,Horizontal,A52,1109.718,0.00182296,0.00815422,280,Baseplate,800,0.00604132,83.33333333333333,985.6682
2022-01-01,A53_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,9.720815,0.08,0.03,98.40816,Horizontal,A53,1067.393,0.0,0.00135863,280,Baseplate,1500,0.00102018,77.77777777777779,947.9128
2022-01-06,B00_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.03,0.03,-1.0,Horizontal,B00,-1.0,-1.0,1.01696,100,Baseplate,3600,-1.0,30.8641975308642,-1.0
2022-01-06,B01_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,8.913179626222467,0.03,0.03,101.62991387063289,Horizontal,B01,1171.2217429266586,-1.0,0.0718759,100,Baseplate,1290,-1.0,86.13264427217916,1033.5608407246632
2022-01-06,B02_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,5.283733669244043,0.03,0.03,106.98138631909143,Horizontal,B02,1171.8849314974623,-1.0,0.450558,190,Baseplate,3900,-1.0,54.131054131054135,1030.2975398984772
2022-01-06,B03_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.07,0.03,-1.0,Horizontal,B03,-1.0,-1.0,4.3939,110,Baseplate,2090,-1.0,25.062656641604008,-1.0
2022-01-06,B04_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,5.915847932564219,0.18,0.03,101.90861732141467,Horizontal,B04,1191.6359210438795,-1.0,0.643567,210,Baseplate,590,-1.0,65.91337099811676,1081.4369912640523
2022-01-06,B05_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.18,0.03,-1.0,Horizontal,B05,-1.0,-1.0,3.27373,245,Baseplate,1810,-1.0,25.066502967055456,-1.0
2022-01-06,B07_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.14,0.03,-1.0,Horizontal,B07,-1.0,-1.0,3.3273,270,Baseplate,2570,-1.0,25.01389660922735,-1.0
2022-01-06,B08_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.09,0.03,-1.0,Horizontal,B08,-1.0,-1.0,3.81587,175,Baseplate,2360,-1.0,27.46390458254865,-1.0
2022-01-06,B09_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,6.824308329215059,0.08,0.03,97.39313424550302,Horizontal,B09,1117.1133066669906,-1.0,0.466402,365,Baseplate,3990,-1.0,38.11612364243944,962.0656196677436
2022-01-06,B10_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.03,0.03,-1.0,Horizontal,B10,-1.0,-1.0,1.39807,110,Baseplate,2440,-1.0,50.09107468123861,-1.0
2022-01-06,B11_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,2,B,-1.0,0.06,0.03,-1.0,Horizontal,B11,-1.0,-1.0,8.81466,140,Baseplate,3110,-1.0,25.008931761343337,-1.0
